Category,Note,Amoount
food,Brownie,500
other,To lended people,3000
food,Dinner,780
transportation,Metro,300
food,Snacks,670
food,Pizza,3390
food,Lunch,2430
food,,250
other,To karthi,1000
health and wellness,,17000
food,Snacks,400
food,Tea lights,840
food,,330
household,,3030
food,Creamstone,2890
food,Tamen,3250
apparel,Hoodie for gobi,3990
food,Eggs,830
apparel,Earphone,3990
transportation,Auto to laxmi mills,1200
transportation,It better be worth it,13000
transportation,Travel to koyambedu,1380
household,Stuffs,3360
transportation,Train cbe to chn,2020
food,Lunch,2000
food,Random stuff for drinks,1110
food,Snacks,2500
transportation,Bus ticket,15750
transportation,Took from sbi,2000
food,Ramen with gobi,3800
transportation,Metro,600
other,To auto anna,500
transportation,To egmore,2700
food,Kfc dinner,3480
food,Lunch,800
food,Side dishes,1650
food,Kfc ,4750
health and wellness,Games ,1000
food,Dinner with aravind and buddies,4910
household,Mirror,700
food,Lunch,800
food,Dinner with aravind,3730
food,Kfc dinner,6410
household,Bean bag,20990
transportation,Auto to Gobi's place,2140
food,Cakepark,1250
food,To kumara,1500
transportation,To chennai,10000
other,To gobi,15000
food,Shawarma,800
food,Good soup,500
other,To gowdham,1500
food,Parotta,1200
transportation,Vnr to apk,500
other,To vicky,2000
transportation,To ksr station,1530
food,Dinner,1550
food,Cycle gap ,1200
food,Brunch,1050
transportation,Rapido to pg,440
other,Sent to barath,1000
food,Banana,100
food,Lunch with company,1380
transportation,Rapido to pg,430
other,To vicky,3000
other,To vishnu,1000
food,Zinger box meal,2790
food,Snacks,1150
food,Paani poori,250
food,Kfc date with myself,2590
food,Lemon tea,180
transportation,Train to vnr,3250
food,Snack,400
food,Lunch with company,1330
food,Pepsi,400
food,Dinner,4650
food,Sent to vicky,3000
food,Lunch,3020
food,Snacks with preethi and azar,1760
health and wellness,Badminton,2000
food,Lunch with company,1880
food,Snacks,370
food,Lunch + chocolate for preethi,1710
food,Dinner,3010
food,Snack with preethi,590
food,Lunch with company,1480
other,To kumara,2000
food,Eve snack,1000
transportation,Bus to Bangalore,13650
food,Snacks,700
food,Lunch pongal,15300
food,Dinner,660
transportation,Rapido to pg,430
other,Recharge by gowdham,4790
food,Pizza,3020
food,Lunch with not preethi,1360
food,Friday snacks with preethi gang,1060
food,Lunch with gowdham,5350
household,Rent,45800
food,Coffee + biscuit,150
food,Ketch up,200
food,Dinner with roommate,8780
food,Bingo,100
transportation,Rapido to pg,420
food,McDonald's with company,2110
other,Lended money returned to vishnu,400
other,Lended money returned to kumara,300
food,Jan 2nd with shakur and barath,3540
other,To gobi 1st 1/4th,5000
other,To abijith and to vicky lend money returned,5000
transportation,Refund for bus ticket,600
food,Lunch with company,3880
education,Arrear and reval fee,14000
food,Lunch with company,1060
other,To vicky,800
food,Sent to preethi,1070
food,Dairy milk,100
food,Lunch unlimited nv,3000
other,Tablet to gowdham,80
food,Dinner with barath,2000
transportation,Train to vnr,7250
food,Snacks,850
food,To barath,200
transportation,Pg to office,430
food,Horlicks + kolakattai,250
transportation,Bommasandra to pg,1990
food,Water,200
transportation,Rapido + toll,2860
food,Coffee and thattai,140
food,Lunch with barath,1150
food,Coconut water with stu,500
food,Dinner with barath,5040
transportation,Cab,3060
health and wellness,Books,4000
food,Corn,300
food,Water,300
food,Milk with bharath,400
health and wellness,Beer,1500
food,Lunch with company,2620
food,Lemon tea with company,150
food,Puffs and coffee,320
food,Dinner with barath,2390
food,Puffs,250
food,Bun,180
food,Milk with bharath,800
transportation,Taxi,800
food,Snacks,200
food,Water,200
food,Lunch with barath,850
food,Milk with bharath,400
other,To siva,1000
other,To kumara,1000
other,To abijith,2000
food,To rahul,1130
health and wellness,Spiderman ,3640
food,Lunch,1600
food,Milk with bharath,700
food,Lunch with company,1100
other,Gave to gowdham,500
food,Egg,300
food,Panipoori,200
food,Lunch,300
food,Milk with bharath,1100
food,Lunch,400
food,Snacks,750
food,Panipoori,800
food,Snacks,740
food,Milk with bharath,650
food,Milk with bharath,250
food,Shopping,2410
food,Momos,1950
food,Snack with bharath,400
food,Lunch with company,2800
food,Milk with bharath,250
food,Breakfast with stu,1100
food,Lunch with stu,1000
food,5 star,150
food,Milk,100
food,Milk with bharath,250
food,Horlicks,150
food,Milk with bharath,250
apparel,Shoe,5000
apparel,Cap,1400
food,Lunch with stu,1500
food,Milk with bharath,250
apparel,Full hand and a hoodie,18000
household,Rent,48000
food,Dinner,3240
food,Snack,650
other,For company,300
food,Breakfast,2000
food,Milk with bharath,250
apparel,Belt,1300
apparel,Mask,200
food,Snack,400
food,Ice cream,5040
food,Vadapaav,750
health and wellness,Showergel,1960
food,Lunch with company,1600
gift,Bharath birthday,1150
food,Lunch with company,1280
food,Breakfast,700
food,Lunch with company,400
food,Dinner,500
food,Panipoori,400
food,Breakfast,400
food,Snack,940
food,Zomato,2690
food,Dinner with gowdham,1200
food,Dinner with gowdham,1300
transportation,Rapido,350
food,Lunch with company,750
food,Breakfast,300
food,Beer,1500
food,Snack,1020
food,Panipoori,400
food,Lunch with company,1500
food,Breakfast,600
food,Lunch with company,1450
transportation,Rapido,580
food,Dinner,950
food,Snack,150
food,Dinner,700
food,Panipoori,200
transportation,Rapido,580
transportation,Rapido,500
food,Dinner,1790
food,Dinner,900
food,Lunch with company,970
transportation,Rapido,1300
food,Lunch,8750
transportation,Bus to Bangalore @10:20 p.m,5800
household,Ripped off by uncle pundai,47000
health and wellness,"Skin care, shampoo and toothpaste",2290
food,Fried rice for sis,850
food,Treat,9390
transportation,Train @7:35 p.m 20th nov,4320
food,Dinner with gobi,3600
food,Snack,1250
other,Recharge for mother,790
food,,4000
food,,1000
food,"Grill, sanwich, brownies and cole",3000
food,Snacks with gobi,1650
food,Breakfast,300
food,,3300
food,,1000
food,,890
food,,1150
apparel,Bluetooth headset,11740
food,,1000
